"Amount" "Measure" "Ingredient"
1.5 "lb" "beef roast, tenderloin, raw, 0\" trim"
3.5 "Tbs" "butter, salted"
1 "Tbs" "flour, all purpose, self rising, enriched"
1 "cup" "stock, beef, prepared from recipe"
3 "Tbs" "sour cream, cultured"
1 "tsp" "mustard, dijon"
