"NDB_NO"	"Amount"	"Measure"	"Ingredient"
15148	8	"oz"	"Crustaceans, lobster, northern, cooked, moist heat"
1001	4	"tbsp"	"Butter, salted"
43154	2	"oz"	"Alcoholic beverage, wine, cooking"
1125	3	"ea"	"Egg, yolk, raw, fresh"
1053	1	"cup, whipped"	"Cream, fluid, heavy whipping"
