"Recipe" "Year" "Amount" "Unit" "Ingredient" "NDB_No"
"BabarianBerryCream" "1936" 1.5 "Tbs" "Gelatins, dry powder, unsweetened" 19177
"BabarianBerryCream" "1936" 3 "Tbs" "Water, bottled, generic" 14555
"BabarianBerryCream" "1936" 1 "qt" "Strawberries, raw" 9316
"BabarianBerryCream" "1936" 1.5 "cup" "Sugars, powdered" 19336
"BabarianBerryCream" "1936" 2 "cup" "Cream, fluid, heavy whipping" 1053
