"Amount"	"Measure"	"Ingredient"	"NDB_No"
1.75	"cup"	"Wheat flour, white, cake, enriched"	20084
4	"Tbs"	"Lard"	4002
2	"Tbs"	"Butter, salted"	1001
6	"ea"	"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)"	9003
0.67	"cup"	"Sugars, granulated"	19335
1.5	"Tbs"	"Cornstarch"	20027
1.5	"Tbs"	"Butter, salted"	1001
1	"Tbs"	"Lemon juice, raw"	9152
