"Recipes" "Year" "Amount" "Measure" "Ingredient"
"1" "Coffee Bavarian Cream" 2006 3 "Tbs" "milk,whole,3.25%"
"2" "Coffee Bavarian Cream" 2006 1.5 "cup" "milk,whole,3.25%"
"3" "Coffee Bavarian Cream" 2006 2.25 "tsp" "gelatin,dry,unsweetened"
"4" "Coffee Bavarian Cream" 2006 1 "Tbs" "instant coffee,regular"
"5" "Coffee Bavarian Cream" 2006 0.25 "cup" "sugar,white,granulated,granulated"
"6" "Coffee Bavarian Cream" 2006 1 "tsp" "extract,vanilla"
"7" "Coffee Bavarian Cream" 2006 1 "cup" "cream,whipping,heavy"
