"Recipes" "Year" "Amount" "Measure" "Ingredient"
"1" "Caramel Custard" 1936 0.5 "cup" "sugar,white,granulated,granulated"
"2" "Caramel Custard" 1936 2 "cup" "milk,whole,3.25%"
"3" "Caramel Custard" 1936 3 "ea" "egg yolk,raw,large"
"4" "Caramel Custard" 1936 0.5 "tsp" "extract,vanilla"
"5" "Caramel Custard" 1936 1 "Tbs" "water,generic"
