"Amount" "Measure" "Ingredient" "NDB_No"
1.75 "cup" "Wheat flour, white, all-purpose, self-rising, enriched" 20082
4 "tbsp" "Butter, salted" 1001
0.75 "cup" "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D" 1211
