"Amount" "Measure" "Ingredient"
1 "qt" "oysters, eastern, in liquid, 12 oz can"
2 "cup" "crackers, saltine, crushed"
1 "cup" "Bread, crumbs, dry, grated, plain"
0.75 "cup" "butter, salted"
1 "cup" "cream, whipping, heavy"
