"Amount" "Measure" "Ingredient" "NDB"
1 "oz" "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D" 1211
1 "oz" "Chocolate, dark, 45- 59% cacao solids" 19902
2 "Tbs" "Butter, salted" 1001
1 "Tbs" "flour, bread, white, enriched" 20083
0.33 "cup" "Sugars, granulated" 19335
3 "lrg" "Egg, whole, raw, fresh" 1123
1 "tsp" "Vanilla extract" 2050
