"Recipes" "Year" "Amount" "Measure" "NDB_No" "Ingredient"
"Hot Slaw" 1936 3 "cup" 11109 "Cabbage, raw"
"Hot Slaw" 1936 3 "Tbs" 2053 "Vinegar, distilled"
"Hot Slaw" 1936 1 "Tbs" 19335 "Sugars, granulated"
"Hot Slaw" 1936 2 "Tbs" 1001 "Butter, salted"
"Hot Slaw" 1936 1 "ea" 9014 "Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)"
