"Amount"	"Measure"	"Ingredient"	"NDB_No"
4	"oz"	"Baking chocolate, unsweetened, squares"	19078
0.5	"cup"	"Butter, salted"	1001
4	"lrg"	"Egg, whole, raw, fresh"	1123
1	"tsp"	"Vanilla extract"	2050
1	"cup"	"Wheat flour, white, all-purpose, self-rising, enriched"	20082
2	"cup"	"Sugars, granulated"	19335
