"Amount" "Measure" "Ingredient"
1 "pnt" "oysters, eastern, in liquid, 12 oz can"
6 "Tbs" "cream, whipping, heavy"
0.5 "cup" "Bread, crumbs, dry, grated, plain"
28 "ea" "crackers, saltine"
0.5 "cup" "butter, salted"
