"Amount" "Measure" "Ingredient" "NDB_No"
1 "cup" "pecans, chopped" 12142
0.25 "cup" "walntus, black, dried, chopped" 12154
1 "cup" "dates, california, chopped" 9087
1 "cup" "sugar, white, granulated, granulated" 19335
3 "lrg" "egg, raw" 1123
1 "tsp" "extract, vanilla" 2050
2 "Tbs" "milk, whole, 3.25%" 1077
0.5 "Tbs" "flour, bread, white, enriched" 20083
