"Amount" "Measure" "Ingredient" "NDB_No"
1 "pnt" "Mollusks, oyster, eastern, canned" 15170
2 "tbsp" "Butter, salted" 1001
2 "tbsp" "Wheat flour, white, all-purpose, self-rising, enriched" 20082
1 "cup" "Soup, stock, fish, home-prepared" 6174
1 "tsp" "Lemon juice, raw" 9152
4 "thick slc" "Bread, white, commercially prepared (includes soft bread crumbs)" 18069
