"Amount" "Measure" "Ingredient" "NDB_No"
1 "cup" "Wheat flour, white, all-purpose, self-rising, enriched" 20082
1 "cup" "Cornmeal, degermed, enriched, yellow" 20022
2 "cup" "Milk, buttermilk, dried" 1094
5 "Tbs" "Butter, salted" 1001
0.25 "cup" "Syrups, maple" 19353
2 "lrg" "Egg, whole, raw, fresh" 1123
3 "slice" "Pork, cured, bacon, pre-sliced, cooked, pan-fried" 10862
