"Amount" "Measure" "Ingredient" "ndb"
3 "whole" "POTATOES,LARGE,SWEET" 11352
2 "cup" "HAM,COOKED,CHOPPED" 7026
0.5 "cup" "BREAD,DRY,CRUMBS" 18079
2 "whole" "EGGS" 43285
0.125 "tsp" "SALT" 2047
1 "tsp" "MUSTARD,PREPARED" 2046
5 "tbsp" "BACON,DRIPPINGS" 7254
6 "whole" "PINEAPPLE,SLICED,DRAINED" 9266
0.25 "tsp" "CLOVES" 2011
0.25 "cup" "SUGAR" 9321
0.5 "cup" "PINEAPPLE,JUICE" 9266
