"Amount" "Measure" "Ingredient" "NDB_No"
1.5 "tbsp" "Gelatins, dry powder, unsweetened" 19177
3 "tbsp" "Beverages, water, tap, drinking" 14411
1 "qt" "Strawberries, raw" 9316
1.5 "cup" "Sugars, powdered" 19336
2 "cup" "Cream, fluid, heavy whipping" 1053
