"Amount" "Measure" "Ingredient" "ndb"
2 "cup" "HAM,DICED" 7026
0.5 "cup" "BREAD,SEASONED,DRY,CRUMBS" 18376
2 "whole" "EGGS" 43285
3 "tsp" "MUSTARD,PREPARED" 2046
