"Amount" "Measure" "Ingredient" "NBD_No"
"1" 2 "cup" "Wheat flour, white, cake, enriched" 20084
"2" 0.66 "cup" "Sugars, granulated" 19335
"3" 2 "large" "Egg, whole, raw, fresh" 1123
"4" 4 "tbsp" "Butter, salted" 1001
"5" 0.75 "cup" "Milk, whole, 3.25% milkfat, with added vitamin D" 1077
"6" 1 "cup" "Blueberries, raw" 9050
