"Amount" "Measure" "Ingredient" "NDB_No"
3 "Tbs" "Butter, salted" 1001
0.25 "cup" "Onions, raw" 11282
3 "Tbs" "Wheat flour, white, all-purpose, self-rising, enriched" 20082
1.5 "cup" "Milk, whole, 3.25% milkfat, with added vitamin D" 1077
0.5 "cup" "Mollusks, clam, mixed species, canned, liquid" 15162
2 "tbs" "Catsup" 11935
6 "oz" "Crustaceans, shrimp, cooked" 15271
1 "cup" "Peas, green, frozen, unprepared (Includes foods for USDA's Food Distribution Program)" 11312
