"Amount" "Measure" "Ingredient" "NDB"
6 "oz" "Chocolate, dark, 45- 59% cacao solids" 19902
6 "Tbs" "Butter, salted" 1001
2 "Tbs" "Beverages, coffee, brewed, prepared with tap water" 14209
3 "lrg" "Egg, whole, raw, fresh" 1123
1 "ea" "Egg, white, raw, fresh" 1124
0.25 "cup" "Sugars, granulated" 19335
