"Amount"	"Measure"	"Ingredient"
1	"lb"	"Crustaceans, crab, blue, canned"
0.5	"cup"	"mayonnaise, regular"
2	"tbs"	"Lemon juice, raw"
2	"tbs"	"Capers, canned"
