"Recipes" "Year" "Amount" "Measure" "Ingredient"
"1" "Caramel Custard" 2006 3 "lrg" "egg,raw"
"2" "Caramel Custard" 2006 2 "cup" "milk,whole,3.25%"
"3" "Caramel Custard" 2006 0.75 "cup" "sugar,white,granulated,granulated"
"4" "Caramel Custard" 2006 0.75 "tsp" "extract,vanilla"
"5" "Caramel Custard" 2006 2 "Tbs" "water,generic"
