"Amount" 	"Measure" 	"Ingredient" 	"NDB_No"
8 	"oz" 	"chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised" 	5677
1 	"cup" 	"celery, raw" 	11143
1 	"cup" 	"salad dressing, mayonnaise, regular" 	4025
