"Amount" "Measure" "Ingredient" "NDB_No"
1 "cup" "bread crumbs, plain, dry, grated" 18079
8 "oz" "chocolate, dark, 45-59% cacao solids" 19902
0.5 "cup" "cream, whipping, heavy" 1053
4 "Tbs" "butter, salted" 1001
2 "Tbs" "coffee, brewed, with tap water" 14209
6 "lrg" "egg, raw" 1123
1 "Tbs" "extract, vanilla" 2050
0.5 "cup" "sugar, white, granulated" 19335
2 "Tbs" "flour, all purpose, self rising, enriched" 20082
