"NDB_No" "Amount" "Measure" "Ingredient"
18079 0.25 "cup" "Bread, crumbs, dry, grated, plain"
1001 4.5 "Tbs" "Butter, salted"
20082 4.5 "Tbs" "Wheat flour, white, all-purpose, self-rising, enriched"
1211 1.5 "cup" "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D"
1123 6 "lrg" "Egg, whole, raw, fresh"
1023 0.5 "cup" "Cheese, gruyere"
11261 1.5 "cup" "Mushrooms, white, cooked, boiled, drained, without salt"
1001 2 "Tbs" "Butter, salted"
