"NBD_No"	"Amount"	"Measure"	"WRB_2006"
1001	1	"Tbs"	"Butter, salted"
14003	1	"cup"	"Alcoholic beverage, beer, regular, all"
1009	1	"lb"	"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)"
6971	1	"tsp"	"Sauce, worcestershire"
