"Amount" "Measure" "Ingredient" "NDB_No"
3 "lb" "Chicken, broilers or fryers, meat and skin, raw" 5006
0.5 "lb" "Sausage, pork, chorizo, link or ground, raw" 7019
0.25 "cup" "Lard" 4002
0.33 "cup" "Onions, yellow, sauteed" 11286
0.5 "cup" "Tomatoes, red, ripe, raw, year round average" 11529
1 "cup" "Rice, white, long-grain, precooked or instant, enriched, dry" 20048
4 "cup" "Water, bottled, generic" 14555
