"Recipe" "Year" "Amount" "Unit" "Ingredient" "NDB_No"
"BabarianBerryCream" "2006" 1 "qt" "Strawberries, raw" 9316
"BabarianBerryCream" "2006" 0.5 "cup" "Sugars, granulated" 19335
"BabarianBerryCream" "2006" 2 "tsp" "Gelatins, dry powder, unsweetened" 19177
"BabarianBerryCream" "2006" 6 "Tbs" "Water, bottled, generic" 14555
"BabarianBerryCream" "2006" 1 "cup" "Cream, fluid, heavy whipping" 1053
