"Amount"	"Measure"	"Ingredient"
0.25	"cup"	"butter, salted"
1	"cup"	"rice, white, dry, long grain, enriched"
4	"cup"	"stock, chicken, prepared from recipe"
0.5	"cup"	"cheese, parmesan, grated"
