"Amount" "Measure" "Ingredient"
2 "Tbs" "gelatin,dry,unsweetened"
1 "cup" "milk,whole,3.25%"
1 "cup" "coffee,brewed,with tap water"
1 "cup" "sugar,white,granulated,granulated"
2 "ea" "egg white,raw,large"
2 "cup" "cream,whipping,heavy"
