"Amount"	"Measure"	"Ingredient"
"1"	2	"tbs"	"butter, salted"
"2"	8	"tbs"	"shallots, fresh, chopped"
"3"	1	"ib"	"chestnuts, european, raw"
"4"	1	"ib"	"brussels sprouts, fresh"
"5"	1	"cup"	"water, generic"
