"Amount"	"Measure"	"Ingredient"
1	"cup"	"sugar, white, granulated, granulated"
0.5	"cup"	"butter, salted"
1	"lrg"	"egg, raw"
1	"tsp"	"extract, vanilla"
1.67	"cup"	"flour, bread, white, enriched"
0.33	"cup"	"sour cream, cultured"
40	"ea"	"pecans, halves"
0.25	"cup"	"sugar, white, granulated, granulated"
