"Amount"	"Measure"	"Ingredient"
3	"cup"	"Peaches, frozen, sliced, sweetened"
0.67	"cup"	"Sugars, granulated"
1	"Tbs"	"Wheat flour, white, all-purpose, self-rising, enriched"
1	"cup"	"Wheat flour, white, cake, enriched"
0.5	"Tbs"	"Sugars, granulated"
2	"Tbs"	"Butter, salted"
6	"Tbs"	"Cream, fluid, heavy whipping"
4	"Tbs"	"Butter, salted"
