"Year"	"NDB_No"	"Amount"	"Measure"	"Ingredients"
1936	11371	2	"cups"	"Potatoes, mashed, home-prepared, whole milk and margarine added"
1936	1077	5	"Tbs"	"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D"
1936	7029	2.67	"oz"	"Ham, sliced, regular (approximately 11% fat)"
1936	1123	4	"lrg"	"Egg, whole, raw, fresh"
1936	18069	0.25	"cup"	"Bread, white, commercially prepared (includes soft bread crumbs)"
1936	1001	2	"Tbs"	"Butter, salted"
