"Amount" "Measure" "Ingredient"
1 "lb" "green beans, fresh"
4 "ea" "onion, yellow, fresh, medium, 2 1/2"
2 "ea" "bell pepper, green, fresh, medium, 2 1/2"
0.25 "cup" "butter, salted"
