"Amount"	"Measure"	"Ingredient"
"1"	2.67	"cup"	"raisins,without seeds,packed cup"
"2"	2	"cup"	"currants, zante, dried"
"3"	1.5	"cup"	"flour,all purpose,self rising,enriched"
"4"	8	"oz"	"suet,beef,raw"
"5"	1	"cup"	"sugar,brown,dark"
"6"	4	"lrg"	"egg,raw"
"7"	0.83	"cup"	"brandy,90 proof"
"8"	0.33	"cup"	"sherry,cooking"
