"Amount" "Measure" "Ingredient" "NDB_No"
6 "medium (2-1/4\" to 3-1/4\" dia.)" "Potatoes, boiled, cooked without skin, flesh, without salt" 11367
3 "tbsp" "Butter, salted" 1001
1 "tsp" "Salt, table" 2047
0.33333 "cup" "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D" 1211
0.5 "cup, fluid (yields 2 cups whipped)" "Cream, fluid, heavy whipping" 1053
0.5 "cup, shredded" "Cheese, cheddar (Includes foods for USDA's Food Distribution Program)" 1009
