"Ingredient" "Amount.x" "Measure.x" "Amount.y" "Measure.y"
"1" "cream,whipping,heavy" 2 "cup" 1 "cup"
"2" "gelatin,dry,unsweetened" 2 "Tbs" 2.25 "tsp"
"3" "milk,whole,3.25%" 1 "cup" 3 "Tbs"
"4" "milk,whole,3.25%" 1 "cup" 1.5 "cup"
"5" "sugar,white,granulated,granulated" 1 "cup" 0.25 "cup"
