"Amount"	"Measure"	"Ingredient"
"1"	2	"lrg"	"egg, raw"
"2"	2	"ea"	"egg white, raw, large"
"3"	0.25	"cup"	"sugar, powdered, unsifted"
"4"	0.5	"tsp"	"extract, vanilla"
"5"	0.5	"tsp"	"butted, salted"
