"Recipe" "NDB_No" "Year" "Amount" "Measure" "Ingredient"
"1" "German Potato Salad" 11365 "2006" 2 "lb" "Potatoes, boiled, cooked in skin, flesh, without salt"
"2" "German Potato Salad" 10123 "2006" 4 "pce" "Pork, cured, bacon, unprepared"
"3" "German Potato Salad" 11286 "2006" 0.25 "cup" "Onions, yellow, sauteed"
"4" "German Potato Salad" 11143 "2006" 0.25 "cup" "Celery, raw"
"5" "German Potato Salad" 11937 "2006" 0.25 "cup" "Pickles, cucumber, dill or kosher dill"
"6" "German Potato Salad" 2048 "2006" 5 "cup" "Vinegar, cider"
"7" "German Potato Salad" 19335 "2006" 5 "tsp" "Sugars, granulated"
"8" "German Potato Salad" 14555 "2006" 0.25 "cup" "Water, bottled, generic"
