"Amount" "Measure" "Ingredient" "NDB_No"
2 "oz" "Chocolate, dark, 45- 59% cacao solids" 19902
0.5 "cup" "Sugars, granulated" 19335
1 "lrg" "Egg, whole, raw, fresh" 1123
1 "Tbs" "Butter, salted" 1001
1 "cup" "Wheat flour, white, bread, enriched" 20083
0.5 "cup" "Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D" 1211
