"Amount" "Measure" "Ingredient"
"3.5" "package" "Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"
"4" "tbsp" "Butter, salted"
"0.33" "cup" "Wheat flour, white, all-purpose, self-rising, enriched"
"1.5" "cup" "Milk, whole, 3.25% milkfat, with added vitamin D"
