"Amount"	"Measure"	"Ingredient"	"NDB_No"
0.5	"lb"	"Pork, fresh, loin, center loin (chops), boneless, separable lean only, raw"	10094
3	"Tbs"	"Butter, salted"	1001
2	"Tbs"	"Onions, sweet, raw"	11294
2.5	"cup"	"Soup, stock, chicken, home-prepared"	6172
3	"ea"	"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"	5746
0.75	"cup"	"Celery, raw"	11143
0.75	"cup"	"Mushrooms, canned, drained solids"	11264
2.5	"Tbs"	"Wheat flour, white, all-purpose, self-rising, enriched"	20082
