"Amount" "Measure" "Ingredient"
2 "Tbs" "butter, salted"
8 "Tbs" "shallots, fresh, chopped"
1 "lb" "chestnuts, european, raw"
1 "lb" "brussels sprouts, fresh"
1 "cup" "water, generic"
