"Amount" "Measure" "Ingredient"
2 "lb" "cabbage,fresh,common,head"
2 "slice" "bacon,raw,cured"
0.25 "cup" "onion,yellow,fresh,chopped"
1 "ea" "apple,fresh,large,3 1/4"
0.25 "cup" "vinegar,red wine"
2 "Tbs" "sugar,white,granulated,granulated"
