"Amount"	"Measure"	"Ingredient"
"1"	3	"Tbs"	"unsalted butter"
"2"	2	"Tbs"	"Wheat flour, white, all-purpose, enriched, bleached"
"3"	1	"cup"	"Cream, fluid, heavy whipping"
"4"	0.333333333333333	"cup"	"Sugars, powdered"
"5"	4	"ea"	"Egg, yolk, raw, frozen, salted, pasteurized"
"6"	5	"tsp"	"Vanilla extract"
"7"	5	"ea"	"Egg, white, raw, fresh"
"8"	0.5	"tsp"	"cream of tartar"
"9"	0.125	"tsp"	"Salt, table"
