"Amount"	"Measure"	"Ingredient"
"2"	"cup"	"mashed potatoes, prepared from recipe with whole milk and butter"
"2"	"lrg"	"egg,raw"
"1"	"lb"	"veal, ground, raw"
"0.5"	"cup"	"celery, fresh, diced"
"0.5"	"cup"	"gravy, beef, canned"
"2"	"Tbsp"	"butter, salted"
