"Recipe"	"Year"	"Amount"	"Measure"	"NDB_No"	"Ingredients"
"Scalloped Potatoes"	1936	4	"cups"	11354	"Potatoes, white, flesh and skin, raw"
"Scalloped Potatoes"	1936	3	"Tbs"	1001	"Butter, salted"
"Scalloped Potatoes"	1936	3	"Tbs"	20082	"Wheat flour, white, all-purpose, self-rising, enriched"
"Scalloped Potatoes"	1936	1.5	"cups"	1077	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Scalloped Potatoes"	1936	0.25	"lb"	1032	"Cheese, parmesan, grated"
"Scalloped Potatoes"	1936	0.75	"cup"	11943	"Pimento, canned"
