"Amount"	"Unit"	"Ingredient"
"1"	2.5	"cup"	"milk, whole, 3.25%"
"2"	0.33	"cup"	"sugar, white, granulated, granulated"
"3"	3	"Tbs"	"tapioca, quick cooking, dry"
"4"	1	"tsp"	"extract, vanilla"
