"Amount"	"Measure"	"Ingredient"
0.5	"cup"	"cream, whipping, heavy"
1	"cup"	"stock, chicken, prepared from recipe"
4	"lrg"	"egg, raw"
1.5	"cup"	"broccoli, cooked, drained, chopped"
