"Amount"	"Measure"	"Ingredient"	"NBD_No"
4	"lrg"	"Egg, raw"	"1123"
1.5	"tsp"	"butter, salted"	"1001"
1.5	"tsp"	"flour, all purpose, self rising, enriched"	"20082"
1	"cup"	"Milk, whole, 3.25%"	"1211"
