"NDB_No" "Amount" "Measure" "Ingredient"
1001 4 "tbsp" "Butter, salted"
11367 6 "medium (2-1/4\" to 3-1/4\" dia.)" "Potatoes, boiled, cooked without skin, flesh, without salt"
1053 0.33 "cup, fluid (yields 2 cups whipped)" "Cream, fluid, heavy whipping"
