"Amount" "Measure" "Ingredient"
1 "ea" "cabbage,fresh,common,head"
3 "slice" "bacon,raw,cured"
2 "ea" "apple,fresh,large,3 1/4"
2 "Tbs" "flour,all purpose,self rising,enriched"
0.33 "cup" "vinegar,distilled"
1 "Tbs" "sugar,white,granulated,granulated"
0.27 "cup" "water,generic"
