"Amount"	"Measure"	"Ingredient"	"NDB_No"
6	"ea"	"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)"	9003
0.5	"cup"	"Sugar, turbinado"	19908
0.25	"cup"	"Butter, salted"	1001
1	"lrg"	"Egg, whole, raw, fresh"	1123
