"Amount" "Measure" "Ingredient" "NDB_No"
6 "Tbsp" "butter, salted" 1001
3 "oz" "cheese, blue" 1004
3 "Tbsp" "cream, fluid, heavy whipping" 1053
6 "potato large (3\" to 4-1/4\" dia)" "potatoes, white, flesh and skin, baked" 11357
