"Amount"	"Measure"	"Ingredient"	"NBD_No"
3	"Tbs"	"Butter, without salt"	1145
2	"Tbs"	"Wheat flour, white, all-purpose, enriched, bleached"	20081
1	"cup"	"Cream, fluid, heavy whipping"	1053
0.333333333333333	"cup"	"Sugars, powdered"	19336
4	"ea"	"Egg, yolk, raw, frozen, salted, pasteurized"	1160
5	"tsp"	"Vanilla extract"	2050
5	"ea"	"Egg, white, raw, fresh"	1124
0.5	"tsp"	"Leavening agents, cream of tartar"	18373
0.125	"tsp"	"Salt, table"	2047
