"Amount"	"Measure"	"Ingredient"	"NDB_No"
3	"tbsp"	"Butter, salted"	1001
2	"lrg"	"Egg, whole, raw, fresh"	1123
0.5	"cup"	"Pineapple, canned, juice pack, drained"	9354
3	"cup"	"Sweet potato, cooked, boiled, without skin, with salt"	11876
