"Amount"	"Measure"	"Ingredient"
"1"	5	"oz"	"beef pot rost, slow cooked, choice"
"2"	1	"cup"	"gravy, beef, canned"
"3"	1.5	"cup"	"soup, tomato, canned, condendsed"
"4"	1	"cup"	"cornmeal, yellow, degerminated, enriched"
"5"	4	"cup"	"water, generic"
