"Amount" 	"Measure" 	"Ingredient" 	"NDB_No"
1 	"each" 	"eggplant, raw" 	11209
1 	"lb" 	"lamb, ground, raw" 	17224
0.5 	"cup" 	"onions, yellow, sauteed" 	11286
1 	"cup" 	"tomatoes, red, ripe, canned, packed in tomato juice" 	11531
