"Amount"	"Measure"	"Ingredient"	"NBD_No"
2	"lb"	"Spinach,fresh,leaf"	"11459"
3	"tsp"	"butter, salted"	"1001"
2.5	"tsp"	"flour,all purpose,self rising, enriched"	"20082"
1	"cup"	"cream,whipping,heavy"	"1053"
1	"lrg"	"egg,raw"	"1123"
