"Amount" "Measure" "Ingredient" "ndb"
2 "cup" "HAM,DICED" 7026
0.5 "cup" "BREAD,SEASONED,DRY,CRUMBS" 18376
2 "whole" "EGGS" 43285
3 "tsp" "MUSTARD,PREPARED" 2046
20 "oz" "PINEAPPLE,SLICED" 9266
5 "tbsp" "OIL,VEGETABLE" 4034
32 "oz" "POTATOES,DRAINED,SLICED,CANNED,SWEET" 11352
0.25 "cup" "SUGAR,DARK,BROWN" 9321
0.25 "tsp" "CLOVES,GROUND" 2011
0.5 "cup" "PINEAPPLE,JUICE" 9266
