"NDB_NO" "Amount" "Measure" "Ingredient"
23562 1 "lb" "Beef, ground, 90% lean meat / 10% fat, raw"
2055 1 "Tbs" "Horseradish, prepared"
11935 2 "Tbs" "Catsup"
10123 6 "pce" "Pork, cured, bacon, unprepared"
18621 24 "ea" "Nabisco, Nabisco Ritz Crackers"
6172 0.5 "cup" "Soup, stock, chicken, home-prepared"
1123 1 "lrg" "Egg, whole, raw, fresh"
