"Amount"	"Measure"	"Ingredient"
1	"cup"	"milk, whole,3.25%"
2	"Tbs"	"butter, salted"
2	"Tbs"	"flour, all purpose, self rising, enriched"
2	"Tbs"	"starch, corn"
1	"ea"	"egg york, raw, large"
1	"Tbs"	"butter, salted"
